Control ID,Control Title,Assessment Objective ID,Assessment Objective,Assessment Methods,Status,Implementation Details,Evidence Reference,Gap Description,Point Deduction
3.3.6,Provide audit reduction and reporting,3.3.6[b],Report generation capability is provided,"Examine, Interview, Test",,,,,
3.3.7,Provide audit analysis capability,3.3.7[a],System provides capability to process audit records for events of interest,"Examine, Interview, Test",,,,,
3.3.8,Protect audit information and tools,3.3.8[a],Audit information is protected from unauthorized access,"Examine, Interview, Test",,,,,
3.3.8,Protect audit information and tools,3.3.8[b],Audit information is protected from unauthorized modification,"Examine, Interview, Test",,,,,
3.3.8,Protect audit information and tools,3.3.8[c],Audit information is protected from unauthorized deletion,"Examine, Interview, Test",,,,,
3.3.8,Protect audit information and tools,3.3.8[d],Audit tools are protected from unauthorized access/modification/deletion,"Examine, Interview, Test",,,,,
3.3.9,Limit audit management to privileged users,3.3.9[a],Subset of privileged users is identified,"Examine, Interview, Test",,,,,
3.3.9,Limit audit management to privileged users,3.3.9[b],Audit functionality management is limited to privileged subset,"Examine, Interview, Test",,,,,
3.4.1,Establish baseline configurations,3.4.1[a],Baseline configurations are developed and documented,"Examine, Interview, Test",,,,,
3.4.1,Establish baseline configurations,3.4.1[b],Baselines include software/firmware/hardware components,"Examine, Interview, Test",,,,,
3.4.1,Establish baseline configurations,3.4.1[c],Baseline configurations are maintained,"Examine, Interview, Test",,,,,
3.4.2,Establish security configuration settings,3.4.2[a],Security configuration settings are established,"Examine, Interview, Test",,,,,
3.4.2,Establish security configuration settings,3.4.2[b],Security configuration settings are enforced,"Examine, Interview, Test",,,,,
3.4.3,Track and log changes,3.4.3[a],Changes to the system are tracked,"Examine, Interview, Test",,,,,
3.4.3,Track and log changes,3.4.3[b],Changes to the system are reviewed,"Examine, Interview, Test",,,,,
3.4.3,Track and log changes,3.4.3[c],Changes are approved/disapproved with security impact analysis,"Examine, Interview, Test",,,,,
3.4.3,Track and log changes,3.4.3[d],Changes to the system are logged,"Examine, Interview, Test",,,,,
3.4.4,Analyze security impact of changes,3.4.4[a],Security impact analyses are conducted prior to change implementation,"Examine, Interview, Test",,,,,
3.4.5,Define and enforce access restrictions,3.4.5[a],Access restrictions for changes are defined,"Examine, Interview, Test",,,,,
3.4.5,Define and enforce access restrictions,3.4.5[b],Access restrictions for changes are documented,"Examine, Interview, Test",,,,,
3.4.5,Define and enforce access restrictions,3.4.5[c],Access restrictions for changes are approved,"Examine, Interview, Test",,,,,
3.4.5,Define and enforce access restrictions,3.4.5[d],Access restrictions for changes are enforced,"Examine, Interview, Test",,,,,
3.4.6,Employ least functionality,3.4.6[a],Essential capabilities are identified,"Examine, Interview, Test",,,,,
3.4.6,Employ least functionality,3.4.6[b],System provides only essential capabilities,"Examine, Interview, Test",,,,,
3.4.6,Employ least functionality,3.4.6[c],Prohibited/restricted functions/ports/protocols/services are identified,"Examine, Interview, Test",,,,,
3.4.6,Employ least functionality,3.4.6[d],Use of prohibited/restricted items is prevented/restricted,"Examine, Interview, Test",,,,,
3.4.7,Restrict software execution,3.4.7[a],User-installed software is identified,"Examine, Interview, Test",,,,,
3.4.7,Restrict software execution,3.4.7[b],Execution of user-installed software is restricted/disabled/prevented,"Examine, Interview, Test",,,,,
3.4.8,Apply deny or allow-by-exception policy,3.4.8[a],Deny-by-exception policy is employed OR,"Examine, Interview, Test",,,,,
3.4.8,Apply deny or allow-by-exception policy,3.4.8[b],Allow-by-exception policy is employed,"Examine, Interview, Test",,,,,
3.4.9,Control user-installed software,3.4.9[a],User-installed software is controlled,"Examine, Interview, Test",,,,,
3.4.9,Control user-installed software,3.4.9[b],User-installed software is monitored,"Examine, Interview, Test",,,,,
3.5.1,Identify users/processes/devices,3.5.1[a],System users are identified,"Examine, Interview, Test",,,,,
3.5.1,Identify users/processes/devices,3.5.1[b],Processes acting on behalf of users are identified,"Examine, Interview, Test",,,,,
3.5.1,Identify users/processes/devices,3.5.1[c],Devices accessing the system are identified,"Examine, Interview, Test",,,,,
3.5.2,Authenticate users/processes/devices,3.5.2[a],System users are authenticated,"Examine, Interview, Test",,,,,
3.5.2,Authenticate users/processes/devices,3.5.2[b],Processes acting on behalf of users are authenticated,"Examine, Interview, Test",,,,,
3.5.2,Authenticate users/processes/devices,3.5.2[c],Devices accessing the system are authenticated,"Examine, Interview, Test",,,,,
3.5.3,Use multifactor authentication,3.5.3[a],MFA for local privileged access is implemented,"Examine, Interview, Test",,,,,
3.5.3,Use multifactor authentication,3.5.3[b],MFA for local non-privileged access is implemented,"Examine, Interview, Test",,,,,
3.5.3,Use multifactor authentication,3.5.3[c],MFA for network privileged access is implemented,"Examine, Interview, Test",,,,,
3.5.3,Use multifactor authentication,3.5.3[d],MFA for network non-privileged access is implemented,"Examine, Interview, Test",,,,,
3.5.4,Use replay-resistant authentication,3.5.4[a],Replay-resistant authentication mechanisms are employed,"Examine, Interview, Test",,,,,
3.5.5,Prevent identifier reuse,3.5.5[a],Identifiers are prevented from reuse for defined period,"Examine, Interview, Test",,,,,
3.5.6,Disable inactive identifiers,3.5.6[a],Time period of inactivity for identifier disabling is defined,"Examine, Interview, Test",,,,,
3.5.6,Disable inactive identifiers,3.5.6[b],Identifiers are disabled after defined inactivity,"Examine, Interview, Test",,,,,
3.5.7,Enforce password complexity,3.5.7[a],Minimum password complexity is defined,"Examine, Interview, Test",,,,,
3.5.7,Enforce password complexity,3.5.7[b],Password complexity is enforced,"Examine, Interview, Test",,,,,
3.5.8,Prohibit password reuse,3.5.8[a],Number of generations for password reuse prohibition is defined,"Examine, Interview, Test",,,,,
3.5.8,Prohibit password reuse,3.5.8[b],Password reuse is prohibited for defined generations,"Examine, Interview, Test",,,,,
3.5.9,Allow temporary passwords for initial logon only,3.5.9[a],Temporary passwords are allowed for system logons,"Examine, Interview, Test",,,,,
3.5.9,Allow temporary passwords for initial logon only,3.5.9[b],Temporary passwords require immediate change on first use,"Examine, Interview, Test",,,,,
3.5.10,Store and transmit cryptographically protected passwords,3.5.10[a],Passwords are cryptographically protected in storage,"Examine, Interview, Test",,,,,
3.5.10,Store and transmit cryptographically protected passwords,3.5.10[b],Passwords are cryptographically protected in transit,"Examine, Interview, Test",,,,,
3.5.11,Obscure authentication feedback,3.5.11[a],Feedback of authentication information is obscured,"Examine, Interview, Test",,,,,
3.6.1,Establish incident handling capability,3.6.1[a],Operational incident handling capability is established,"Examine, Interview, Test",,,,,
3.6.1,Establish incident handling capability,3.6.1[b],Capability includes preparation/detection/containment/eradication/recovery,"Examine, Interview, Test",,,,,
3.6.2,Track and report incidents,3.6.2[a],Incidents are tracked,"Examine, Interview, Test",,,,,
3.6.2,Track and report incidents,3.6.2[b],Incidents are documented,"Examine, Interview, Test",,,,,
3.6.2,Track and report incidents,3.6.2[c],Incidents are reported to appropriate authorities,"Examine, Interview, Test",,,,,
3.6.3,Test incident response capability,3.6.3[a],Incident response capability is tested,"Examine, Interview, Test",,,,,
3.7.1,Perform maintenance with authorized personnel,3.7.1[a],Types of maintenance personnel are identified,"Examine, Interview, Test",,,,,
3.7.1,Perform maintenance with authorized personnel,3.7.1[b],Maintenance is performed by authorized personnel,"Examine, Interview, Test",,,,,
3.7.1,Perform maintenance with authorized personnel,3.7.1[c],Types of maintenance activities are identified,"Examine, Interview, Test",,,,,
3.7.1,Perform maintenance with authorized personnel,3.7.1[d],Maintenance activities are performed by authorized personnel,"Examine, Interview, Test",,,,,
3.7.2,Sanitize equipment removed for maintenance,3.7.2[a],Media sanitization/disposal policy is established,"Examine, Interview, Test",,,,,
3.7.2,Sanitize equipment removed for maintenance,3.7.2[b],Equipment for off-site maintenance is sanitized of CUI,"Examine, Interview, Test",,,,,
3.7.2,Sanitize equipment removed for maintenance,3.7.2[c],Equipment removal requires approvals,"Examine, Interview, Test",,,,,
3.7.2,Sanitize equipment removed for maintenance,3.7.2[d],Equipment with CUI is destroyed per policy,"Examine, Interview, Test",,,,,
3.7.3,Ensure qualified maintenance personnel,3.7.3[a],Maintenance tools are inspected,"Examine, Interview, Test",,,,,
3.7.3,Ensure qualified maintenance personnel,3.7.3[b],Maintenance is performed by authorized and qualified personnel,"Examine, Interview, Test",,,,,
3.7.4,Require MFA for remote maintenance,3.7.4[a],MFA is employed for nonlocal maintenance sessions,"Examine, Interview, Test",,,,,
3.7.5,Supervise uncleared maintenance personnel,3.7.5[a],Personnel without required access are identified,"Examine, Interview, Test",,,,,
3.7.5,Supervise uncleared maintenance personnel,3.7.5[b],Uncleared personnel are supervised during maintenance,"Examine, Interview, Test",,,,,
3.7.5,Supervise uncleared maintenance personnel,3.7.5[c],Maintenance by uncleared personnel is reviewed,"Examine, Interview, Test",,,,,
3.7.6,Sanitize equipment with CUI before removal,3.7.6[a],Equipment with CUI is sanitized before off-site maintenance,"Examine, Interview, Test",,,,,
3.7.6,Sanitize equipment with CUI before removal,3.7.6[b],CUI is removed before equipment leaves for maintenance,"Examine, Interview, Test",,,,,
3.8.1,Protect system media with CUI,3.8.1[a],Media containing CUI is identified,"Examine, Interview, Test",,,,,
3.8.1,Protect system media with CUI,3.8.1[b],Media containing CUI is protected,"Examine, Interview, Test",,,,,
3.8.2,Limit CUI media access to authorized users,3.8.2[a],Media types requiring restricted access are identified,"Examine, Interview, Test",,,,,
3.8.2,Limit CUI media access to authorized users,3.8.2[b],Access to CUI on media is limited to authorized users,"Examine, Interview, Test",,,,,
3.8.3,Sanitize or destroy media,3.8.3[a],Media to be sanitized/destroyed is identified,"Examine, Interview, Test",,,,,
3.8.3,Sanitize or destroy media,3.8.3[b],Media is sanitized before disposal/reuse,"Examine, Interview, Test",,,,,
3.8.4,Mark media with CUI,3.8.4[a],System media containing CUI is identified,"Examine, Interview, Test",,,,,
3.8.4,Mark media with CUI,3.8.4[b],Media with CUI is marked with handling caveats,"Examine, Interview, Test",,,,,
3.8.5,Control media access and maintain accountability,3.8.5[a],System media is identified,"Examine, Interview, Test",,,,,
3.8.5,Control media access and maintain accountability,3.8.5[b],Access to media with CUI is controlled,"Examine, Interview, Test",,,,,
3.8.5,Control media access and maintain accountability,3.8.5[c],Accountability for media with CUI is maintained,"Examine, Interview, Test",,,,,
3.8.6,Protect CUI on digital media during transport,3.8.6[a],Digital media requiring encryption is identified,"Examine, Interview, Test",,,,,
3.8.6,Protect CUI on digital media during transport,3.8.6[b],Cryptographic mechanisms protect CUI on media during transport,"Examine, Interview, Test",,,,,
3.8.7,Control removable media use,3.8.7[a],Types of removable media are identified,"Examine, Interview, Test",,,,,
3.8.7,Control removable media use,3.8.7[b],Authorized users of removable media are identified,"Examine, Interview, Test",,,,,
3.8.7,Control removable media use,3.8.7[c],Use of removable media is controlled,"Examine, Interview, Test",,,,,
3.8.7,Control removable media use,3.8.7[d],Use of removable media on system components is restricted,"Examine, Interview, Test",,,,,
3.8.8,Prohibit portable storage without controls,3.8.8[a],Portable storage devices are identified,"Examine, Interview, Test",,,,,
3.8.8,Prohibit portable storage without controls,3.8.8[b],Use of portable storage without identifiable owner is prohibited,"Examine, Interview, Test",,,,,
3.8.9,Protect backup CUI,3.8.9[a],Confidentiality of backup CUI at storage locations is protected,"Examine, Interview, Test",,,,,
3.9.1,Screen individuals prior to access,3.9.1[a],Conditions for system access are identified,"Examine, Interview, Test",,,,,
3.9.1,Screen individuals prior to access,3.9.1[b],Individuals are screened prior to access,"Examine, Interview, Test",,,,,
3.9.1,Screen individuals prior to access,3.9.1[c],Individuals are rescreened per defined conditions,"Examine, Interview, Test",,,,,
3.9.2,Protect CUI during personnel actions,3.9.2[a],Personnel actions requiring access review are identified,"Examine, Interview, Test",,,,,
3.9.2,Protect CUI during personnel actions,3.9.2[b],CUI access is protected during terminations and transfers,"Examine, Interview, Test",,,,,
3.10.1,Limit physical access,3.10.1[a],Physical access authorizations are managed,"Examine, Interview, Test",,,,,
3.10.1,Limit physical access,3.10.1[b],Physical access to facilities with CUI systems is limited,"Examine, Interview, Test",,,,,
3.10.1,Limit physical access,3.10.1[c],Physical access to systems with CUI is limited,"Examine, Interview, Test",,,,,
3.10.2,Protect and monitor physical facility,3.10.2[a],Physical access to facilities is monitored,"Examine, Interview, Test",,,,,
3.10.2,Protect and monitor physical facility,3.10.2[b],Physical access to facilities is controlled,"Examine, Interview, Test",,,,,
3.10.3,Escort visitors,3.10.3[a],Visitors are escorted,"Examine, Interview, Test",,,,,
3.10.3,Escort visitors,3.10.3[b],Visitor activity is monitored,"Examine, Interview, Test",,,,,
3.10.4,Maintain physical access logs,3.10.4[a],Physical access audit logs are maintained,"Examine, Interview, Test",,,,,
3.10.4,Maintain physical access logs,3.10.4[b],Physical access audit logs are reviewed,"Examine, Interview, Test",,,,,
3.10.5,Control physical access devices,3.10.5[a],Physical access devices are managed,"Examine, Interview, Test",,,,,
3.10.5,Control physical access devices,3.10.5[b],Physical access devices are controlled,"Examine, Interview, Test",,,,,
3.10.6,Enforce safeguards at alternate work sites,3.10.6[a],Alternate work sites with CUI access are identified,"Examine, Interview, Test",,,,,
3.10.6,Enforce safeguards at alternate work sites,3.10.6[b],Safeguarding measures for alternate sites are determined,"Examine, Interview, Test",,,,,
3.10.6,Enforce safeguards at alternate work sites,3.10.6[c],Safeguarding measures are enforced at alternate sites,"Examine, Interview, Test",,,,,
3.11.1,Assess risk periodically,3.11.1[a],Frequency for risk assessments is defined,"Examine, Interview, Test",,,,,
3.11.1,Assess risk periodically,3.11.1[b],Risk assessments are conducted at defined frequency,"Examine, Interview, Test",,,,,
3.11.1,Assess risk periodically,3.11.1[c],Identified risks are documented,"Examine, Interview, Test",,,,,
3.11.2,Scan for vulnerabilities,3.11.2[a],Frequency for vulnerability scanning is defined,"Examine, Interview, Test",,,,,
3.11.2,Scan for vulnerabilities,3.11.2[b],Vulnerability scans are conducted at defined frequency,"Examine, Interview, Test",,,,,
3.11.2,Scan for vulnerabilities,3.11.2[c],Scans are conducted when new vulnerabilities are reported,"Examine, Interview, Test",,,,,
3.11.2,Scan for vulnerabilities,3.11.2[d],Scanning tools facilitate interoperability,"Examine, Interview, Test",,,,,
3.11.2,Scan for vulnerabilities,3.11.2[e],Scanning tools automate vulnerability management,"Examine, Interview, Test",,,,,
3.11.2,Scan for vulnerabilities,3.11.2[f],Scanning includes unauthorized component detection,"Examine, Interview, Test",,,,,
3.11.3,Remediate vulnerabilities,3.11.3[a],Vulnerabilities are remediated per organizational risk assessment,"Examine, Interview, Test",,,,,
3.11.4,Update threat profile,3.11.4[a],Threat profile is developed from threat intelligence,"Examine, Interview, Test",,,,,
3.11.4,Update threat profile,3.11.4[b],Threat profile is updated based on threat intelligence,"Examine, Interview, Test",,,,,
3.11.5,Conduct threat awareness activities,3.11.5[a],Awareness activities communicate emerging threats to personnel,"Examine, Interview, Test",,,,,
3.11.6,Employ automated risk assessments,3.11.6[a],Automated mechanisms analyze risk more thoroughly and effectively,"Examine, Interview, Test",,,,,
3.12.1,Assess security controls periodically,3.12.1[a],Frequency for security control assessments is defined,"Examine, Interview, Test",,,,,
3.12.1,Assess security controls periodically,3.12.1[b],Security controls are assessed at defined frequency,"Examine, Interview, Test",,,,,
3.12.2,Create and implement POA&Ms,3.12.2[a],Plans of action describe remediation of weaknesses,"Examine, Interview, Test",,,,,
3.12.2,Create and implement POA&Ms,3.12.2[b],Plans of action are implemented,"Examine, Interview, Test",,,,,
3.12.3,Monitor security controls,3.12.3[a],Security controls are monitored for continued effectiveness,"Examine, Interview, Test",,,,,
3.13.1,Monitor/control/protect communications at boundaries,3.13.1[a],Boundary protection mechanisms are identified,"Examine, Interview, Test",,,,,
3.13.1,Monitor/control/protect communications at boundaries,3.13.1[b],Communications are monitored at managed interfaces,"Examine, Interview, Test",,,,,
3.13.1,Monitor/control/protect communications at boundaries,3.13.1[c],Communications are controlled at managed interfaces,"Examine, Interview, Test",,,,,
3.13.1,Monitor/control/protect communications at boundaries,3.13.1[d],Communications are protected at managed interfaces,"Examine, Interview, Test",,,,,
3.13.2,Employ security engineering principles,3.13.2[a],Security engineering principles are employed in design/development,"Examine, Interview, Test",,,,,
3.13.3,Separate user and admin functionality,3.13.3[a],User functionality is separated from system management,"Examine, Interview, Test",,,,,
3.13.4,Prevent unauthorized transfer via shared resources,3.13.4[a],Shared system resources are identified,"Examine, Interview, Test",,,,,
3.13.4,Prevent unauthorized transfer via shared resources,3.13.4[b],Unauthorized information transfer via shared resources is prevented,"Examine, Interview, Test",,,,,
3.13.5,Implement subnetworks for public components,3.13.5[a],Publicly accessible components are identified,"Examine, Interview, Test",,,,,
3.13.5,Implement subnetworks for public components,3.13.5[b],Subnetworks for publicly accessible components are implemented,"Examine, Interview, Test",,,,,
3.13.6,Deny traffic by default,3.13.6[a],Network traffic is denied by default,"Examine, Interview, Test",,,,,
3.13.6,Deny traffic by default,3.13.6[b],Network traffic is allowed by exception,"Examine, Interview, Test",,,,,
3.13.7,Prevent split-tunneling,3.13.7[a],Remote devices are prevented from simultaneous connections,"Examine, Interview, Test",,,,,
3.13.8,Implement transmission encryption,3.13.8[a],Cryptographic mechanisms prevent unauthorized disclosure in transmission,"Examine, Interview, Test",,,,,
3.13.9,Terminate network connections,3.13.9[a],Network connections are terminated at end of sessions,"Examine, Interview, Test",,,,,
3.13.9,Terminate network connections,3.13.9[b],Network connections are terminated after inactivity period,"Examine, Interview, Test",,,,,
3.13.10,Establish and manage cryptographic keys,3.13.10[a],Cryptographic keys are established per requirements,"Examine, Interview, Test",,,,,
3.13.10,Establish and manage cryptographic keys,3.13.10[b],Cryptographic keys are managed per requirements,"Examine, Interview, Test",,,,,
3.13.11,Employ FIPS-validated cryptography,3.13.11[a],FIPS-validated cryptography protects CUI confidentiality,"Examine, Interview, Test",,,,,
3.13.12,Prohibit remote activation of collaboration devices,3.13.12[a],Collaborative computing devices are identified,"Examine, Interview, Test",,,,,
3.13.12,Prohibit remote activation of collaboration devices,3.13.12[b],Remote activation of collaboration devices is prohibited,"Examine, Interview, Test",,,,,
3.13.13,Control mobile code,3.13.13[a],Acceptable and unacceptable mobile code is identified,"Examine, Interview, Test",,,,,
3.13.13,Control mobile code,3.13.13[b],Mobile code use is controlled,"Examine, Interview, Test",,,,,
3.13.13,Control mobile code,3.13.13[c],Mobile code use is monitored,"Examine, Interview, Test",,,,,
3.13.14,Control VoIP,3.13.14[a],VoIP use is controlled,"Examine, Interview, Test",,,,,
3.13.14,Control VoIP,3.13.14[b],VoIP use is monitored,"Examine, Interview, Test",,,,,
3.13.15,Protect authenticity of communications,3.13.15[a],Authenticity of communications sessions is protected,"Examine, Interview, Test",,,,,
3.13.16,Protect CUI at rest,3.13.16[a],Confidentiality of CUI at rest is protected,"Examine, Interview, Test",,,,,
3.14.1,Identify and correct flaws timely,3.14.1[a],System flaws are identified timely,"Examine, Interview, Test",,,,,
3.14.1,Identify and correct flaws timely,3.14.1[b],System flaws are reported timely,"Examine, Interview, Test",,,,,
3.14.1,Identify and correct flaws timely,3.14.1[c],System flaws are corrected timely,"Examine, Interview, Test",,,,,
3.14.2,Provide malicious code protection,3.14.2[a],Malicious code protection mechanisms are implemented at entry/exit points,"Examine, Interview, Test",,,,,
3.14.2,Provide malicious code protection,3.14.2[b],Malicious code protection is updated when new releases are available,"Examine, Interview, Test",,,,,
3.14.2,Provide malicious code protection,3.14.2[c],Mechanisms perform periodic and real-time scans,"Examine, Interview, Test",,,,,
3.14.3,Monitor security alerts and advisories,3.14.3[a],Security alerts and advisories are monitored,"Examine, Interview, Test",,,,,
